iter	Passed	Remaining
0	165	165684
1	167	83542
2	168	56024
3	169	42222
4	171	34072
5	173	28669
6	174	24700
7	175	21721
8	176	19427
9	177	17565
10	178	16046
11	179	14779
12	180	13713
13	182	12864
14	184	12095
15	185	11405
16	186	10811
17	188	10270
18	189	9788
19	190	9355
20	192	8980
21	194	8631
22	195	8307
23	196	8008
24	198	7725
25	199	7457
26	200	7214
27	201	6985
28	202	6771
29	203	6578
30	204	6392
31	205	6220
32	206	6058
33	207	5903
34	208	5758
35	210	5628
36	211	5505
37	212	5383
38	213	5266
39	214	5155
40	215	5048
41	217	4950
42	218	4853
43	219	4760
44	220	4690
45	223	4633
46	224	4551
47	225	4472
48	226	4396
49	227	4323
50	228	4251
51	229	4184
52	230	4118
53	231	4053
54	232	3993
55	233	3935
56	234	3881
57	235	3829
58	237	3785
59	238	3737
60	239	3690
61	240	3641
62	241	3595
63	242	3550
64	244	3513
65	245	3471
66	246	3430
67	247	3386
68	248	3347
69	249	3311
70	250	3274
71	251	3238
72	252	3203
73	253	3172
74	254	3141
75	256	3120
76	257	3090
77	258	3059
78	259	3031
79	261	3002
80	262	2974
81	263	2946
82	264	2918
83	265	2891
84	265	2862
85	266	2837
86	267	2808
87	269	2788
88	270	2764
89	270	2739
90	272	2717
91	273	2695
92	274	2674
93	275	2654
94	276	2634
95	277	2613
96	278	2594
97	279	2574
98	280	2554
99	281	2534
100	282	2515
101	283	2493
102	284	2475
103	285	2458
104	286	2440
105	287	2422
106	288	2404
107	289	2387
108	290	2371
109	291	2356
110	292	2340
111	293	2325
112	294	2310
113	295	2295
114	296	2281
115	297	2266
116	298	2255
117	300	2242
118	300	2227
119	301	2213
120	302	2199
121	304	2194
122	305	2179
123	306	2166
124	307	2153
125	308	2140
126	309	2128
127	310	2114
128	311	2105
129	313	2095
130	314	2083
131	315	2072
132	316	2060
133	317	2049
134	318	2038
135	319	2029
136	320	2018
137	321	2007
138	322	1996
139	323	1987
140	324	1979
141	326	1969
142	328	1966
143	329	1955
144	329	1944
145	330	1933
146	331	1922
147	332	1912
148	332	1901
149	333	1891
150	334	1880
151	335	1870
152	336	1860
153	336	1850
154	337	1841
155	338	1832
156	339	1823
157	340	1814
158	341	1804
159	341	1795
160	342	1785
161	343	1776
162	344	1767
163	345	1759
164	345	1750
165	346	1742
166	347	1733
167	348	1725
168	349	1716
169	349	1708
170	350	1700
171	351	1692
172	352	1684
173	353	1676
174	353	1668
175	354	1660
176	355	1653
177	356	1645
178	357	1641
179	358	1634
180	359	1625
181	360	1618
182	360	1611
183	361	1603
184	362	1596
185	363	1589
186	364	1582
187	365	1576
188	366	1571
189	367	1568
190	368	1562
191	369	1556
192	371	1551
193	372	1546
194	373	1540
195	374	1535
196	375	1531
197	376	1526
198	377	1520
199	378	1515
200	379	1510
201	381	1505
202	382	1501
203	383	1496
204	384	1491
205	385	1486
206	386	1481
207	387	1475
208	388	1469
209	389	1463
210	389	1457
211	390	1451
212	391	1445
213	392	1440
214	393	1435
215	393	1429
216	394	1424
217	395	1418
218	396	1412
219	396	1407
220	397	1401
221	398	1395
222	398	1390
223	399	1384
224	400	1379
225	401	1373
226	401	1368
227	402	1363
228	403	1357
229	404	1352
230	404	1347
231	405	1342
232	406	1337
233	407	1332
234	407	1327
235	408	1322
236	409	1317
237	409	1312
238	410	1307
239	411	1302
240	411	1297
241	412	1292
242	413	1287
243	414	1283
244	414	1278
245	415	1273
246	416	1268
247	416	1263
248	417	1259
249	418	1254
250	418	1249
251	419	1245
252	420	1242
253	421	1237
254	422	1233
255	422	1228
256	423	1224
257	424	1219
258	424	1215
259	425	1211
260	426	1206
261	426	1202
262	427	1198
263	428	1193
264	428	1189
265	429	1185
266	430	1181
267	431	1179
268	432	1176
269	433	1172
270	434	1168
271	435	1164
272	435	1161
273	436	1157
274	437	1153
275	438	1149
276	439	1145
277	439	1142
278	440	1138
279	441	1134
280	441	1130
281	442	1127
282	443	1124
283	444	1121
284	445	1118
285	446	1114
286	447	1112
287	449	1110
288	450	1108
289	451	1105
290	452	1102
291	453	1100
292	454	1096
293	455	1093
294	456	1091
295	457	1088
296	458	1086
297	459	1083
298	460	1080
299	461	1077
300	462	1074
301	463	1070
302	464	1067
303	465	1064
304	466	1061
305	466	1058
306	467	1056
307	468	1053
308	469	1050
309	470	1047
310	471	1044
311	472	1041
312	473	1038
313	474	1035
314	474	1032
315	475	1030
316	476	1027
317	477	1023
318	478	1020
319	480	1021
320	481	1019
321	482	1016
322	483	1014
323	484	1011
324	485	1009
325	487	1006
326	488	1004
327	489	1003
328	490	1000
329	491	998
330	492	996
331	495	996
332	496	995
333	498	993
334	499	990
335	499	988
336	500	985
337	501	982
338	502	979
339	503	977
340	504	975
341	506	974
342	507	972
343	508	970
344	509	967
345	510	965
346	511	962
347	512	960
348	513	958
349	514	956
350	515	953
351	516	951
352	518	950
353	519	948
354	520	945
355	521	943
356	522	940
357	523	937
358	523	935
359	524	932
360	525	930
361	526	927
362	526	924
363	527	921
364	528	919
365	529	917
366	530	914
367	530	911
368	531	909
369	532	907
370	533	905
371	534	902
372	535	900
373	536	897
374	537	896
375	538	893
376	539	891
377	540	888
378	540	886
379	541	884
380	542	881
381	543	879
382	544	876
383	545	874
384	546	872
385	547	870
386	548	868
387	549	866
388	549	863
389	550	861
390	551	858
391	552	856
392	552	854
393	553	851
394	554	849
395	555	846
396	555	844
397	556	841
398	557	839
399	558	837
400	558	834
401	559	832
402	560	830
403	561	828
404	562	826
405	563	824
406	564	822
407	565	819
408	565	817
409	566	815
410	567	812
411	568	810
412	568	808
413	569	806
414	570	803
415	571	801
416	571	799
417	572	797
418	573	794
419	573	792
420	574	790
421	575	788
422	577	787
423	579	787
424	581	786
425	583	786
426	584	784
427	585	782
428	586	780
429	586	778
430	587	775
431	588	773
432	589	772
433	590	770
434	591	768
435	592	766
436	593	765
437	594	763
438	595	761
439	596	759
440	597	758
441	599	756
442	600	755
443	601	753
444	603	752
445	604	750
446	605	748
447	606	746
448	607	745
449	608	743
450	609	741
451	610	739
452	611	738
453	612	736
454	613	734
455	614	733
456	615	731
457	616	729
458	618	728
459	619	726
460	620	725
461	621	723
462	622	722
463	623	720
464	624	719
465	625	717
466	627	715
467	628	713
468	629	712
469	630	710
470	631	708
471	632	707
472	633	705
473	634	704
474	635	702
475	636	700
476	637	699
477	638	697
478	639	695
479	640	693
480	640	691
481	641	689
482	642	687
483	643	685
484	644	683
485	645	682
486	646	680
487	647	678
488	647	677
489	648	675
490	649	673
491	650	671
492	651	669
493	652	668
494	653	666
495	653	664
496	654	662
497	655	660
498	656	658
499	657	657
500	658	655
501	658	653
502	659	651
503	660	650
504	661	648
505	662	646
506	662	644
507	663	642
508	664	641
509	665	639
510	666	637
511	667	636
512	668	634
513	669	632
514	670	631
515	671	629
516	672	627
517	672	626
518	673	624
519	674	622
520	675	620
521	675	618
522	676	617
523	677	615
524	678	613
525	678	611
526	679	610
527	680	608
528	681	606
529	681	604
530	682	603
531	683	601
532	684	599
533	685	598
534	686	596
535	687	594
536	688	593
537	689	591
538	690	590
539	691	588
540	692	587
541	692	585
542	693	583
543	694	582
544	695	580
545	696	579
546	697	577
547	698	576
548	699	574
549	701	573
550	702	572
551	703	570
552	704	569
553	705	568
554	706	566
555	707	565
556	708	563
557	709	561
558	710	560
559	711	558
560	713	558
561	714	556
562	715	555
563	716	553
564	716	552
565	717	550
566	718	548
567	719	547
568	720	545
569	721	544
570	722	542
571	723	541
572	724	539
573	725	538
574	726	536
575	727	535
576	728	534
577	729	532
578	730	531
579	731	529
580	732	528
581	733	526
582	734	525
583	734	523
584	735	521
585	736	520
586	736	518
587	737	516
588	738	515
589	739	513
590	739	511
591	740	510
592	741	508
593	741	507
594	742	505
595	743	503
596	743	502
597	744	500
598	745	498
599	745	497
600	746	495
601	747	494
602	747	492
603	748	490
604	749	489
605	750	487
606	750	486
607	751	484
608	752	482
609	752	481
610	753	479
611	754	478
612	755	476
613	755	475
614	756	473
615	757	471
616	757	470
617	758	468
618	759	467
619	759	465
620	760	464
621	761	462
622	761	461
623	762	459
624	763	457
625	763	456
626	764	454
627	765	453
628	765	451
629	766	450
630	767	448
631	768	447
632	768	445
633	769	444
634	770	442
635	770	441
636	771	439
637	772	438
638	772	436
639	773	435
640	774	433
641	774	432
642	775	430
643	776	429
644	776	427
645	777	426
646	778	424
647	779	423
648	779	421
649	780	420
650	781	418
651	781	417
652	782	415
653	783	414
654	784	413
655	784	411
656	785	410
657	786	408
658	786	407
659	787	405
660	788	404
661	788	402
662	789	401
663	790	399
664	791	398
665	791	397
666	792	395
667	793	394
668	793	392
669	794	391
670	795	389
671	796	388
672	796	387
673	797	385
674	798	384
675	799	383
676	799	381
677	801	380
678	801	379
679	802	377
680	803	376
681	804	374
682	804	373
683	805	372
684	806	370
685	806	369
686	807	367
687	808	366
688	808	365
689	809	363
690	811	362
691	812	361
692	813	360
693	814	358
694	814	357
695	815	356
696	816	354
697	816	353
698	817	352
699	818	350
700	819	349
701	819	347
702	820	346
703	821	345
704	821	343
705	822	342
706	823	341
707	823	339
708	824	338
709	825	337
710	825	335
711	826	334
712	827	333
713	828	331
714	828	330
715	829	328
716	830	327
717	830	326
718	831	324
719	832	323
720	832	322
721	833	320
722	834	319
723	834	318
724	835	316
725	836	315
726	837	314
727	838	313
728	839	311
729	839	310
